
********************************************************
 Grabación de datos SunControl
 Versión V1.6.2
 Grupo 8: H
 Fecha: 22.10.2021
********************************************************

Tiempo;No. de serie;Estado;V-GS;Potencia;Edía;Talim;Vred;Ired;Etotal
00:01:33;08062045867;Offline;;;;;;;
00:01:45;08061345856;Offline;;;;;;;
00:12:43;08062045867;Offline;;;;;;;
00:12:55;08061345856;Offline;;;;;;;
00:20:14;08062045867;Offline;;;;;;;
00:20:25;08061345856;Offline;;;;;;;
00:31:32;08062045867;Offline;;;;;;;
00:31:38;08061345856;Offline;;;;;;;
00:42:43;08062045867;Offline;;;;;;;
00:42:55;08061345856;Offline;;;;;;;
00:50:12;08062045867;Offline;;;;;;;
00:50:24;08061345856;Offline;;;;;;;
01:01:23;08062045867;Offline;;;;;;;
01:01:35;08061345856;Offline;;;;;;;
01:12:43;08062045867;Offline;;;;;;;
01:12:54;08061345856;Offline;;;;;;;
01:20:13;08062045867;Offline;;;;;;;
01:20:24;08061345856;Offline;;;;;;;
01:31:22;08062045867;Offline;;;;;;;
01:31:34;08061345856;Offline;;;;;;;
01:42:43;08062045867;Offline;;;;;;;
01:42:54;08061345856;Offline;;;;;;;
01:50:06;08061345856;Offline;;;;;;;
01:53:45;08062045867;Offline;;;;;;;
02:01:23;08062045867;Offline;;;;;;;
02:01:34;08061345856;Offline;;;;;;;
02:12:33;08062045867;Offline;;;;;;;
02:12:45;08061345856;Offline;;;;;;;
02:20:14;08061345856;Offline;;;;;;;
02:23:43;08062045867;Offline;;;;;;;
02:31:14;08062045867;Offline;;;;;;;
02:31:25;08061345856;Offline;;;;;;;
02:42:27;08062045867;Offline;;;;;;;
02:42:38;08061345856;Offline;;;;;;;
02:50:05;08061345856;Offline;;;;;;;
02:53:44;08062045867;Offline;;;;;;;
03:01:26;08062045867;Offline;;;;;;;
03:01:37;08061345856;Offline;;;;;;;
03:12:24;08062045867;Offline;;;;;;;
03:12:35;08061345856;Offline;;;;;;;
03:23:35;08062045867;Offline;;;;;;;
03:23:45;08061345856;Offline;;;;;;;
03:31:13;08062045867;Offline;;;;;;;
03:31:24;08061345856;Offline;;;;;;;
03:42:36;08062045867;Offline;;;;;;;
03:42:47;08061345856;Offline;;;;;;;
03:50:05;08061345856;Offline;;;;;;;
03:53:43;08062045867;Offline;;;;;;;
04:01:03;08062045867;Offline;;;;;;;
04:01:15;08061345856;Offline;;;;;;;
04:12:17;08062045867;Offline;;;;;;;
04:12:28;08061345856;Offline;;;;;;;
04:23:33;08062045867;Offline;;;;;;;
04:23:45;08061345856;Offline;;;;;;;
04:31:16;08062045867;Offline;;;;;;;
04:31:27;08061345856;Offline;;;;;;;
04:42:23;08062045867;Offline;;;;;;;
04:42:34;08061345856;Offline;;;;;;;
04:53:25;08062045867;Offline;;;;;;;
04:53:35;08061345856;Offline;;;;;;;
05:01:02;08062045867;Offline;;;;;;;
05:01:08;08061345856;Offline;;;;;;;
05:12:13;08062045867;Offline;;;;;;;
05:12:25;08061345856;Offline;;;;;;;
05:23:33;08062045867;Offline;;;;;;;
05:23:44;08061345856;Offline;;;;;;;
05:30:54;08062045867;Offline;;;;;;;
05:31:05;08061345856;Offline;;;;;;;
05:42:12;08062045867;Offline;;;;;;;
05:42:18;08061345856;Offline;;;;;;;
05:53:17;08062045867;Offline;;;;;;;
05:53:34;08061345856;Offline;;;;;;;
06:00:54;08062045867;Offline;;;;;;;
06:01:05;08061345856;Offline;;;;;;;
